env,demo_tag,arch,seed,n_params,noise_sigma,teacher_return,student_return,student_std,distill_efficiency,final_val_loss,train_time_s
halfcheetah_pomdp,teacher_1000000_noise00,gru,789,50886,0.0,1384.91259765625,1344.2014324618772,358.2170504153609,0.9706038018115583,0.014620306622236966,16.125218152999878
halfcheetah_pomdp,teacher_1000000_noise00,gru,1337,50886,0.0,1384.91259765625,1326.016064030856,361.40541144381285,0.957472743243821,0.014081837143748999,17.593430042266846
halfcheetah_pomdp,teacher_1000000_noise00,lstm,789,67526,0.0,1384.91259765625,1387.922557533703,274.4980080919824,1.0021733933842083,0.014933021366596222,16.123148918151855
halfcheetah_pomdp,teacher_1000000_noise00,lstm,1337,67526,0.0,1384.91259765625,1414.5803383994025,35.67467001721805,1.0214221033106063,0.015188203006982804,16.276848316192627
halfcheetah_pomdp,teacher_1000000_noise00,stu,789,338118,0.0,1384.91259765625,1226.2664678799094,373.75340323994277,0.8854468288866572,0.010265105590224265,131.46468925476074
halfcheetah_pomdp,teacher_1000000_noise00,stu,1337,338118,0.0,1384.91259765625,1131.8900692054815,407.06448087869376,0.8173007243352614,0.010933070816099644,131.48690056800842
halfcheetah_pomdp,teacher_1000000_noise00,transformer,789,232006,0.0,1384.91259765625,1365.6523839874662,203.37549803267405,0.9860928309112224,0.016144340857863426,56.168848752975464
halfcheetah_pomdp,teacher_1000000_noise00,transformer,1337,232006,0.0,1384.91259765625,1323.42253966553,347.20339500625033,0.955600044295371,0.01633900813758373,56.35562038421631
halfcheetah_pomdp,teacher_2000000_noise00,gru,789,50886,0.0,1378.299560546875,1369.4493857168368,114.41027806368086,0.9935789177597019,0.02423283699899912,16.295538187026978
halfcheetah_pomdp,teacher_2000000_noise00,gru,1337,50886,0.0,1378.299560546875,1276.9667011295883,285.336284071264,0.9264797999521378,0.02146441973745823,16.378541707992554
halfcheetah_pomdp,teacher_2000000_noise00,lstm,789,67526,0.0,1378.299560546875,1272.8650021165217,122.75757061329439,0.9235038873635573,0.022211170569062234,15.961931228637695
halfcheetah_pomdp,teacher_2000000_noise00,lstm,1337,67526,0.0,1378.299560546875,1349.0993879742978,59.623231786237746,0.9788143496461746,0.023164290376007556,16.617568492889404
halfcheetah_pomdp,teacher_2000000_noise00,stu,789,338118,0.0,1378.299560546875,1208.4969735361815,31.429973254030475,0.8768028432488798,0.01663954509422183,131.5629119873047
halfcheetah_pomdp,teacher_2000000_noise00,stu,1337,338118,0.0,1378.299560546875,1283.1438390640408,44.21321195247369,0.9309615092345537,0.01599924024194479,133.02797102928162
halfcheetah_pomdp,teacher_2000000_noise00,transformer,789,232006,0.0,1378.299560546875,1436.4994601793194,40.1963613032913,1.0422258711374413,0.023764633759856223,66.58329510688782
halfcheetah_pomdp,teacher_2000000_noise00,transformer,1337,232006,0.0,1378.299560546875,1437.2675897421466,27.706954612770996,1.0427831734720097,0.024297976307570933,63.63925647735596
halfcheetah_pomdp,teacher_200000_noise03,gru,789,50886,0.3,463.8608703613281,736.7459736636268,80.08389179274971,1.58829084481675,0.11637094095349312,16.55750060081482
halfcheetah_pomdp,teacher_200000_noise03,gru,1337,50886,0.3,463.8608703613281,586.0499224107448,219.20356906521803,1.2634174595374612,0.11758250668644905,16.441946744918823
halfcheetah_pomdp,teacher_200000_noise03,lstm,789,67526,0.3,463.8608703613281,799.7433171237619,204.065858133099,1.7241017042476454,0.1318235546350479,17.846263647079468
halfcheetah_pomdp,teacher_200000_noise03,lstm,1337,67526,0.3,463.8608703613281,683.2334826846663,61.390322672585505,1.4729276089885663,0.12870728299021722,18.30547332763672
halfcheetah_pomdp,teacher_200000_noise03,stu,789,338118,0.3,463.8608703613281,624.1967887394158,133.1945003095082,1.3456551923709208,0.10958830341696739,131.52774620056152
halfcheetah_pomdp,teacher_200000_noise03,stu,1337,338118,0.3,463.8608703613281,711.2795410560111,89.106488256267,1.533389829803825,0.11070965752005577,131.56836366653442
halfcheetah_pomdp,teacher_200000_noise03,transformer,789,232006,0.3,463.8608703613281,32.60609101101813,30.068190433156552,0.07029282505683085,0.17123305350542067,64.95403742790222
halfcheetah_pomdp,teacher_200000_noise03,transformer,1337,232006,0.3,463.8608703613281,261.72599878683263,140.86011727405938,0.5642338371481067,0.17362166941165924,60.583659172058105
halfcheetah_pomdp,teacher_2000000_noise03,gru,789,50886,0.3,810.725341796875,1193.94963217858,110.82262869119512,1.472693118895648,0.0974802128970623,16.39312195777893
halfcheetah_pomdp,teacher_2000000_noise03,gru,1337,50886,0.3,810.725341796875,1017.0330903803555,392.07540383649143,1.2544730477108612,0.09767243713140487,16.503260612487793
halfcheetah_pomdp,teacher_2000000_noise03,lstm,789,67526,0.3,810.725341796875,856.9188108753151,490.71359878651174,1.0569779513442343,0.1005016341805458,16.440196752548218
halfcheetah_pomdp,teacher_2000000_noise03,lstm,1337,67526,0.3,810.725341796875,1095.0077799670933,220.74542504293316,1.3506519699262645,0.10037131980061531,18.282782316207886
halfcheetah_pomdp,teacher_2000000_noise03,stu,789,338118,0.3,810.725341796875,1019.6944157226557,81.55519122244282,1.2577556949960709,0.09456604719161987,131.48168802261353
halfcheetah_pomdp,teacher_2000000_noise03,stu,1337,338118,0.3,810.725341796875,1090.2902946426764,40.01613900420279,1.34483312465129,0.09410045966506005,131.5011875629425
halfcheetah_pomdp,teacher_2000000_noise03,transformer,789,232006,0.3,810.725341796875,664.6082174247231,459.89711844033945,0.8197698815627239,0.12680538818240167,56.463379859924316
halfcheetah_pomdp,teacher_2000000_noise03,transformer,1337,232006,0.3,810.725341796875,1104.1555220442583,258.94362863663605,1.3619353745585783,0.12786239758133888,59.878079891204834
ant_pomdp,teacher_1000000_noise00,gru,789,51336,0.0,1423.501708984375,1726.6473661856023,494.1320601938016,1.2129577051351152,0.014653418795205653,14.642072916030884
ant_pomdp,teacher_1000000_noise00,gru,1337,51336,0.0,1423.501708984375,1595.018875312586,457.58771689752854,1.120489610406287,0.014247902319766581,13.243526220321655
ant_pomdp,teacher_1000000_noise00,lstm,789,67976,0.0,1423.501708984375,1559.7247152425648,535.4517949252437,1.0956957096703317,0.015615389333106577,14.482182741165161
ant_pomdp,teacher_1000000_noise00,lstm,1337,67976,0.0,1423.501708984375,1780.702114265355,306.07159273070613,1.2509307878076463,0.01616877829656005,13.92514419555664
ant_pomdp,teacher_1000000_noise00,stu,789,338568,0.0,1423.501708984375,1640.6122506520544,273.8923571953534,1.152518637875455,0.014178383746184409,100.09033441543579
ant_pomdp,teacher_1000000_noise00,stu,1337,338568,0.0,1423.501708984375,1467.8606918381477,527.3415160407923,1.0311618753766172,0.013955442700535059,100.07878184318542
ant_pomdp,teacher_1000000_noise00,transformer,789,232456,0.0,1423.501708984375,1705.0876894068074,315.01955595368486,1.1978121829044626,0.02077546715736389,43.690078258514404
ant_pomdp,teacher_1000000_noise00,transformer,1337,232456,0.0,1423.501708984375,1877.5648734484366,147.7758763186641,1.31897619904371,0.01997135696001351,43.109639406204224
