env,demo_tag,arch,seed,n_params,noise_sigma,teacher_return,student_return,student_std,distill_efficiency,final_val_loss,train_time_s
halfcheetah_pomdp,teacher_1000000_noise00,gru,42,311526,0.0,1384.91259765625,1366.4018379790418,270.8124215992996,0.98663398707721,0.008865715470165014,74.79192280769348
halfcheetah_pomdp,teacher_1000000_noise00,gru,123,311526,0.0,1384.91259765625,1401.8684258360033,97.83851768203827,1.0122432478471555,0.008894440671429037,74.72277998924255
halfcheetah_pomdp,teacher_1000000_noise00,gru,456,311526,0.0,1384.91259765625,1431.4857993044993,60.758506122327695,1.0336289825993836,0.008753064833581448,74.73443245887756
halfcheetah_pomdp,teacher_1000000_noise03,gru,42,311526,0.3,737.8777465820312,1163.762585756654,202.27586195812506,1.5771753398816946,0.08748378753662109,74.56982421875
halfcheetah_pomdp,teacher_1000000_noise03,gru,123,311526,0.3,737.8777465820312,1173.839467686388,220.77871583517853,1.5908319137198563,0.08741787001490593,74.14495301246643
halfcheetah_pomdp,teacher_1000000_noise03,gru,456,311526,0.3,737.8777465820312,1218.3358552539075,32.87600587142663,1.6511351113344124,0.08767419308423996,74.100252866745
halfcheetah_pomdp,teacher_2000000_noise00,gru,42,311526,0.0,1378.299560546875,1431.7860026747687,33.00728254584851,1.0388061083808744,0.015840424224734306,74.04420638084412
halfcheetah_pomdp,teacher_2000000_noise00,gru,123,311526,0.0,1378.299560546875,1419.134013520191,48.58295922567199,1.0296266893948032,0.015904849860817194,74.06353807449341
halfcheetah_pomdp,teacher_2000000_noise00,gru,456,311526,0.0,1378.299560546875,1423.4245030895065,19.695023449736095,1.0327395755134152,0.015786384884268045,74.43588781356812
halfcheetah_pomdp,teacher_2000000_noise03,gru,42,311526,0.3,810.725341796875,1157.818755563242,72.22669477854119,1.428127006610002,0.08985123038291931,74.08823442459106
halfcheetah_pomdp,teacher_2000000_noise03,gru,123,311526,0.3,810.725341796875,1179.986945164156,50.529764936806245,1.4554706561273354,0.0900848351418972,74.17051005363464
halfcheetah_pomdp,teacher_2000000_noise03,gru,456,311526,0.3,810.725341796875,1150.520843322041,97.7569961175717,1.4191252992931616,0.09065770134329795,74.39709639549255
halfcheetah_pomdp,teacher_200000_noise00,gru,42,311526,0.0,533.9777221679688,529.0632378218102,100.59645377579473,0.990796461833266,0.024541631713509558,74.15137147903442
